time,mass,MOIx,MOIy,MOIz,centre-of-mass
72.640000,37.811851,0.196000,218.988000,218.988000,1.965960
72.645000,37.811851,0.196000,218.988000,218.988000,1.965960
72.650000,37.811851,0.196000,218.988000,218.988000,1.965960
72.655000,37.811851,0.196000,218.988000,218.988000,1.965960
72.660000,37.811851,0.196000,218.988000,218.988000,1.965960
72.665000,37.811851,0.196000,218.988000,218.988000,1.965960
72.670000,37.811851,0.196000,218.988000,218.988000,1.965960
72.675000,37.811851,0.196000,218.988000,218.988000,1.965960
72.680000,37.811851,0.196000,218.988000,218.988000,1.965960
72.685000,37.811851,0.196000,218.988000,218.988000,1.965960
72.690000,37.811851,0.196000,218.988000,218.988000,1.965960
72.695000,37.811851,0.196000,218.988000,218.988000,1.965960
72.700000,37.811851,0.196000,218.988000,218.988000,1.965960
72.705000,37.811851,0.196000,218.988000,218.988000,1.965960
72.710000,37.811851,0.196000,218.988000,218.988000,1.965960
72.715000,37.811851,0.196000,218.988000,218.988000,1.965960
72.720000,37.811851,0.196000,218.988000,218.988000,1.965960
72.725000,37.811851,0.196000,218.988000,218.988000,1.965960
72.730000,37.811851,0.196000,218.988000,218.988000,1.965960
72.735000,37.811851,0.196000,218.988000,218.988000,1.965960
72.740000,37.811851,0.196000,218.988000,218.988000,1.965960
72.745000,37.811851,0.196000,218.988000,218.988000,1.965960
72.750000,37.811851,0.196000,218.988000,218.988000,1.965960
72.755000,37.811851,0.196000,218.988000,218.988000,1.965960
72.760000,37.811851,0.196000,218.988000,218.988000,1.965960
72.765000,37.811851,0.196000,218.988000,218.988000,1.965960
72.770000,37.811851,0.196000,218.988000,218.988000,1.965960
72.775000,37.811851,0.196000,218.988000,218.988000,1.965960
72.780000,37.811851,0.196000,218.988000,218.988000,1.965960
72.785000,37.811851,0.196000,218.988000,218.988000,1.965960
72.790000,37.811851,0.196000,218.988000,218.988000,1.965960
72.795000,37.811851,0.196000,218.988000,218.988000,1.965960
72.800000,37.811851,0.196000,218.988000,218.988000,1.965960
72.805000,37.811851,0.196000,218.988000,218.988000,1.965960
72.810000,37.811851,0.196000,218.988000,218.988000,1.965960
72.815000,37.811851,0.196000,218.988000,218.988000,1.965960
72.820000,37.811851,0.196000,218.988000,218.988000,1.965960
72.825000,37.811851,0.196000,218.988000,218.988000,1.965960
72.830000,37.811851,0.196000,218.988000,218.988000,1.965960
72.835000,37.811851,0.196000,218.988000,218.988000,1.965960
72.840000,37.811851,0.196000,218.988000,218.988000,1.965960
72.845000,37.811851,0.196000,218.988000,218.988000,1.965960
72.850000,37.811851,0.196000,218.988000,218.988000,1.965960
72.855000,37.811851,0.196000,218.988000,218.988000,1.965960
72.860000,37.811851,0.196000,218.988000,218.988000,1.965960
72.865000,37.811851,0.196000,218.988000,218.988000,1.965960
72.870000,37.811851,0.196000,218.988000,218.988000,1.965960
72.875000,37.811851,0.196000,218.988000,218.988000,1.965960
72.880000,37.811851,0.196000,218.988000,218.988000,1.965960
72.885000,37.811851,0.196000,218.988000,218.988000,1.965960
72.890000,37.811851,0.196000,218.988000,218.988000,1.965960
72.895000,37.811851,0.196000,218.988000,218.988000,1.965960
72.900000,37.811851,0.196000,218.988000,218.988000,1.965960
72.905000,37.811851,0.196000,218.988000,218.988000,1.965960
72.910000,37.811851,0.196000,218.988000,218.988000,1.965960
72.915000,37.811851,0.196000,218.988000,218.988000,1.965960
72.920000,37.811851,0.196000,218.988000,218.988000,1.965960
72.925000,37.811851,0.196000,218.988000,218.988000,1.965960
72.930000,37.811851,0.196000,218.988000,218.988000,1.965960
72.935000,37.811851,0.196000,218.988000,218.988000,1.965960
72.940000,37.811851,0.196000,218.988000,218.988000,1.965960
72.945000,37.811851,0.196000,218.988000,218.988000,1.965960
72.950000,37.811851,0.196000,218.988000,218.988000,1.965960
72.955000,37.811851,0.196000,218.988000,218.988000,1.965960
72.960000,37.811851,0.196000,218.988000,218.988000,1.965960
72.965000,37.811851,0.196000,218.988000,218.988000,1.965960
72.970000,37.811851,0.196000,218.988000,218.988000,1.965960
72.975000,37.811851,0.196000,218.988000,218.988000,1.965960
72.980000,37.811851,0.196000,218.988000,218.988000,1.965960
72.985000,37.811851,0.196000,218.988000,218.988000,1.965960
72.990000,37.811851,0.196000,218.988000,218.988000,1.965960
72.995000,37.811851,0.196000,218.988000,218.988000,1.965960
73.000000,37.811851,0.196000,218.988000,218.988000,1.965960
73.005000,37.811851,0.196000,218.988000,218.988000,1.965960
73.010000,37.811851,0.196000,218.988000,218.988000,1.965960
73.015000,37.811851,0.196000,218.988000,218.988000,1.965960
73.020000,37.811851,0.196000,218.988000,218.988000,1.965960
73.025000,37.811851,0.196000,218.988000,218.988000,1.965960
73.030000,37.811851,0.196000,218.988000,218.988000,1.965960
73.035000,37.811851,0.196000,218.988000,218.988000,1.965960
73.040000,37.811851,0.196000,218.988000,218.988000,1.965960
73.045000,37.811851,0.196000,218.988000,218.988000,1.965960
73.050000,37.811851,0.196000,218.988000,218.988000,1.965960
73.055000,37.811851,0.196000,218.988000,218.988000,1.965960
73.060000,37.811851,0.196000,218.988000,218.988000,1.965960
73.065000,37.811851,0.196000,218.988000,218.988000,1.965960
73.070000,37.811851,0.196000,218.988000,218.988000,1.965960
73.075000,37.811851,0.196000,218.988000,218.988000,1.965960
73.080000,37.811851,0.196000,218.988000,218.988000,1.965960
73.085000,37.811851,0.196000,218.988000,218.988000,1.965960
73.090000,37.811851,0.196000,218.988000,218.988000,1.965960
73.095000,37.811851,0.196000,218.988000,218.988000,1.965960
73.100000,37.811851,0.196000,218.988000,218.988000,1.965960
73.105000,37.811851,0.196000,218.988000,218.988000,1.965960
73.110000,37.811851,0.196000,218.988000,218.988000,1.965960
73.115000,37.811851,0.196000,218.988000,218.988000,1.965960
73.120000,37.811851,0.196000,218.988000,218.988000,1.965960
73.125000,37.811851,0.196000,218.988000,218.988000,1.965960
73.130000,37.811851,0.196000,218.988000,218.988000,1.965960
73.135000,37.811851,0.196000,218.988000,218.988000,1.965960
73.140000,37.811851,0.196000,218.988000,218.988000,1.965960
73.145000,37.811851,0.196000,218.988000,218.988000,1.965960
73.150000,37.811851,0.196000,218.988000,218.988000,1.965960
73.155000,37.811851,0.196000,218.988000,218.988000,1.965960
73.160000,37.811851,0.196000,218.988000,218.988000,1.965960
73.165000,37.811851,0.196000,218.988000,218.988000,1.965960
