altitude,temperature,pressure,density
41400.000000,254.980000,233.035925,0.003183
41500.000000,255.260000,229.978847,0.003138
41600.000000,255.540000,226.965356,0.003093
41700.000000,255.820000,223.994782,0.003049
41800.000000,256.100000,221.066466,0.003006
41900.000000,256.380000,218.179758,0.002964
42000.000000,256.660000,215.334021,0.002922
42100.000000,256.940000,212.528628,0.002881
42200.000000,257.220000,209.762962,0.002840
42300.000000,257.500000,207.036415,0.002800
42400.000000,257.780000,204.348390,0.002761
42500.000000,258.060000,201.698301,0.002722
42600.000000,258.340000,199.085569,0.002684
42700.000000,258.620000,196.509627,0.002646
42800.000000,258.900000,193.969916,0.002609
42900.000000,259.180000,191.465885,0.002573
43000.000000,259.460000,188.996993,0.002537
43100.000000,259.740000,186.562710,0.002501
43200.000000,260.020000,184.162511,0.002467
43300.000000,260.300000,181.795881,0.002432
43400.000000,260.580000,179.462313,0.002399
43500.000000,260.860000,177.161310,0.002365
43600.000000,261.140000,174.892381,0.002332
43700.000000,261.420000,172.655043,0.002300
43800.000000,261.700000,170.448822,0.002268
43900.000000,261.980000,168.273251,0.002237
44000.000000,262.260000,166.127870,0.002206
44100.000000,262.540000,164.012228,0.002176
44200.000000,262.820000,161.925878,0.002146
44300.000000,263.100000,159.868384,0.002116
44400.000000,263.380000,157.839316,0.002087
44500.000000,263.660000,155.838248,0.002058
44600.000000,263.940000,153.864765,0.002030
44700.000000,264.220000,151.918455,0.002002
44800.000000,264.500000,149.998915,0.001975
44900.000000,264.780000,148.105748,0.001948
45000.000000,265.060000,146.238562,0.001921
45100.000000,265.340000,144.396974,0.001895
45200.000000,265.620000,142.580603,0.001869
45300.000000,265.900000,140.789077,0.001844
45400.000000,266.180000,139.022031,0.001819
45500.000000,266.460000,137.279101,0.001794
45600.000000,266.740000,135.559934,0.001770
45700.000000,267.020000,133.864180,0.001746
45800.000000,267.300000,132.191494,0.001722
45900.000000,267.580000,130.541537,0.001699
46000.000000,267.860000,128.913977,0.001676
46100.000000,268.140000,127.308486,0.001654
46200.000000,268.420000,125.724739,0.001631
46300.000000,268.700000,124.162420,0.001609
46400.000000,268.980000,122.621216,0.001588
46500.000000,269.260000,121.100818,0.001566
46600.000000,269.540000,119.600923,0.001545
46700.000000,269.820000,118.121233,0.001525
46800.000000,270.100000,116.661454,0.001504
46900.000000,270.380000,115.221296,0.001484
47000.000000,270.660000,113.800476,0.001464
47100.000000,270.650000,109.518093,0.000000
47200.000000,270.650000,108.143654,0.000000
47300.000000,270.650000,106.786464,0.000000
