time,thrust
1.796000,5349.182630
1.798000,5348.681649
1.800000,5348.181028
1.802000,5347.680766
1.804000,5347.180860
1.806000,5346.681310
1.808000,5346.182115
1.810000,5345.683273
1.812000,5345.184783
1.814000,5344.686646
1.816000,5344.188860
1.818000,5343.691425
1.820000,5343.194341
1.822000,5342.697605
1.824000,5342.201218
1.826000,5341.705180
1.828000,5341.209489
1.830000,5340.714145
1.832000,5340.219148
1.834000,5339.724496
1.836000,5339.230189
1.838000,5338.736227
1.840000,5338.242609
1.842000,5337.749333
1.844000,5337.256401
1.846000,5336.763811
1.848000,5336.271562
1.850000,5335.779653
1.852000,5335.288085
1.854000,5334.796857
1.856000,5334.305967
1.858000,5333.815416
1.860000,5333.325203
1.862000,5332.835326
1.864000,5332.345787
1.866000,5331.856583
1.868000,5331.367714
1.870000,5330.879180
1.872000,5330.390980
1.874000,5329.903114
1.876000,5329.415581
1.878000,5328.928379
1.880000,5328.441510
1.882000,5327.954971
1.884000,5327.468763
1.886000,5326.982885
1.888000,5326.497336
1.890000,5326.012116
1.892000,5325.527223
1.894000,5325.042658
1.896000,5324.558420
1.898000,5324.074508
1.900000,5323.590922
1.902000,5323.107661
1.904000,5322.624724
1.906000,5322.142111
1.908000,5321.659821
1.910000,5321.177854
1.912000,5320.696209
1.914000,5320.214885
1.916000,5319.733882
1.918000,5319.253200
1.920000,5318.772837
1.922000,5318.292793
1.924000,5317.813067
1.926000,5317.333660
1.928000,5316.854569
1.930000,5316.375796
1.932000,5315.897338
1.934000,5315.419196
1.936000,5314.941369
1.938000,5314.463856
1.940000,5313.986657
1.942000,5313.509772
1.944000,5313.033198
1.946000,5312.556937
1.948000,5312.080987
1.950000,5311.605348
1.952000,5311.130019
1.954000,5310.655000
1.956000,5310.180290
1.958000,5309.705888
1.960000,5309.231794
1.962000,5308.758008
1.964000,5308.284528
1.966000,5307.811354
1.968000,5307.338486
1.970000,5306.865923
1.972000,5306.393665
1.974000,5305.921710
1.976000,5305.450059
1.978000,5304.978710
1.980000,5304.507663
1.982000,5304.036918
1.984000,5303.566474
1.986000,5303.096330
1.988000,5302.626486
1.990000,5302.156941
1.992000,5301.687695
1.994000,5301.218748
1.996000,5300.750097
1.998000,5300.281744
2.000000,5299.813687
2.002000,5299.345926
2.004000,5298.878460
2.006000,5298.411289
2.008000,5297.944412
2.010000,5297.477829
2.012000,5297.011538
2.014000,5296.545540
2.016000,5296.079834
2.018000,5295.614420
2.020000,5295.149296
2.022000,5294.684462
2.024000,5294.219918
2.026000,5293.755663
2.028000,5293.291696
2.030000,5292.828018
2.032000,5292.364627
2.034000,5291.901523
2.036000,5291.438705
2.038000,5290.976173
2.040000,5290.513926
2.042000,5290.051963
2.044000,5289.590285
2.046000,5289.128891
2.048000,5288.667779
2.050000,5288.206950
2.052000,5287.746402
2.054000,5287.286136
2.056000,5286.826151
2.058000,5286.366446
2.060000,5285.907021
2.062000,5285.447875
2.064000,5284.989008
2.066000,5284.530418
2.068000,5284.072107
2.070000,5283.614072
2.072000,5283.156313
2.074000,5282.698831
2.076000,5282.241624
2.078000,5281.784691
2.080000,5281.328033
2.082000,5280.871649
2.084000,5280.415538
2.086000,5279.959700
2.088000,5279.504134
2.090000,5279.048839
2.092000,5278.593816
2.094000,5278.139063
2.096000,5277.684580
2.098000,5277.230366
2.100000,5276.776421
2.102000,5276.322745
2.104000,5275.869337
2.106000,5275.416196
2.108000,5274.963322
2.110000,5274.510714
2.112000,5274.058372
2.114000,5273.606296
2.116000,5273.154484
